feature,importancia,desvio
idade_anos,0.035293556924135806,0.002133663205221363
TRATAMENTO_3,0.03285392108856533,0.0017193865785527498
POP_LIBER,0.023513947000469316,0.0008113265290171914
AGRAVDROGA,0.02093968060605267,0.000762909021038908
SG_UF_NOT,0.01792154979295939,0.0008621919836037937
NU_CONTATO,0.015076426720262303,0.0007698549170582445
HIV_2.0,0.009755503878349604,0.0009414885429421892
POP_RUA,0.008575882239161014,0.000681451546997471
CS_ESCOL_N,0.007124132212510403,0.00018295072271127803
AGRAVTABAC,0.0060431304355298195,0.00036430389346807227
AGRAVALCOO,0.0050006180032693415,0.0008042704590990806
BACILOSC_E_3.0,0.002920251859712697,0.0005061923075485913
CS_SEXO_F,0.0025067662827273464,0.0005496336288348393
CS_RACA_1.0,0.0022150851691284724,0.0003602727195094473
TRAT_SUPER,0.0020431026948923405,0.0001628180399405598
TRATAMENTO_1,0.0018987945081625711,0.00032808226971008727
RAIOX_TORA_4.0,0.0018799921694309107,0.00042561354091132645
CS_SEXO_M,0.0010242408938829772,0.0002985701823738648
CS_RACA_2.0,0.0008663119909252615,0.0001846073264577745
AGRAVDIABE,0.0008606043073563719,0.00015088987277388376
HIV_4.0,0.0006931004611074653,0.0001785636354980934
CS_RACA___raro__,0.0005622155202358092,0.0001523035756814517
HIV_1.0,0.0004245470772205051,6.298441521566981e-05
BACILOSC_E_1.0,0.00032831423684271944,9.947638988176284e-05
RAIOX_TORA_1.0,0.00025828018536810937,1.7111024092140825e-05
HIV___raro__,0.000255880525434149,2.0295197819407845e-05
BACILOSC_E_2.0,0.00025333868683397043,0.00013631569421211824
BENEF_GOV,0.0002102901462158524,8.336022893730819e-05
AGRAVDOENC,0.0001652795400033602,5.5547983266504223e-05
BACILOSC_E_4.0,0.00015723064772992234,3.762367275964341e-05
CS_RACA_4.0,0.00014906011370878768,4.642187291949689e-05
AGRAVAIDS,9.403065081368123e-05,5.735748966115185e-05
CS_RACA_9.0,5.325696885567499e-05,3.249353543036116e-05
RAIOX_TORA_2.0,4.650190244528396e-05,3.192383579315176e-05
TRATAMENTO_2,3.5996478771505025e-05,2.4102816987495814e-05
RAIOX_TORA___raro__,3.315922449813602e-05,1.0884034833213673e-05
INSTITUCIO,2.5340977616639115e-05,4.039664845908469e-05
TRATAMENTO___raro__,3.7235012930292298e-06,4.698525775108613e-06
BACILOSC_E___raro__,0.0,0.0
CS_SEXO___raro__,0.0,0.0
TRATAMENTO_5,-9.755036268499496e-06,2.4760587473731445e-05
